CSDUID,CSD,Period,IndicatorSummaryDescription,Rental Unit Type,UnitOfMeasure,OriginalValue
4809002,Clearwater County,1997,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,1998,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,1999,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2000,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2001,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2002,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2003,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2004,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2019,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2020,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$
4809002,Clearwater County,2022,Average Residential Rent (2-bedroom units),1 - bedroom,$
4810028,Vegreville,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,423.00000
4810028,Vegreville,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,434.00000
4810028,Vegreville,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,509.00000
4810028,Vegreville,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,572.00000
4810028,Vegreville,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,652.00000
4810028,Vegreville,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,644.00000
4810028,Vegreville,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,656.00000
4810028,Vegreville,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,665.00000
4810028,Vegreville,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,671.00000
4810028,Vegreville,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,794.00000
4810028,Vegreville,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,775.00000
4810028,Vegreville,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,760.00000
4810028,Vegreville,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,709.00000
4810028,Vegreville,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,709.00000
4810028,Vegreville,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,733.00000
4813031,Westlock,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,461.00000
4813031,Westlock,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,498.00000
4813031,Westlock,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,533.00000
4813031,Westlock,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,564.00000
4813031,Westlock,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,620.00000
4813031,Westlock,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,642.00000
4813031,Westlock,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,657.00000
4813031,Westlock,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,680.00000
4813031,Westlock,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,712.00000
4813031,Westlock,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,730.00000
4813031,Westlock,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,765.00000
4813031,Westlock,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,747.00000
4813031,Westlock,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,760.00000
4813031,Westlock,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,753.00000
4813031,Westlock,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,775.00000
4813030,Whitecourt,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,527.00000
4813030,Whitecourt,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,549.00000
4813030,Whitecourt,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,632.00000
4813030,Whitecourt,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,702.00000
4813030,Whitecourt,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,710.00000
4813030,Whitecourt,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,693.00000
4813030,Whitecourt,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,713.00000
4813030,Whitecourt,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,750.00000
4813030,Whitecourt,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,761.00000
4813030,Whitecourt,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,844.00000
4813030,Whitecourt,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,867.00000
4813030,Whitecourt,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,872.00000
4813030,Whitecourt,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,858.00000
4810018,Tofield,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,435.00000
4810018,Tofield,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,500.00000
4810018,Tofield,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,548.00000
4810018,Tofield,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,611.00000
4810018,Tofield,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,626.00000
4810018,Tofield,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,638.00000
4810018,Tofield,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,619.00000
4810018,Tofield,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,625.00000
4810018,Tofield,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,638.00000
4810018,Tofield,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,638.00000
4810018,Tofield,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,613.00000
4810018,Tofield,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,612.00000
4810018,Tofield,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,627.00000
4810018,Tofield,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,550.00000
4810018,Tofield,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,550.00000
4813019,Barrhead,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,397.00000
4813019,Barrhead,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,405.00000
4813019,Barrhead,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,459.00000
4813019,Barrhead,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,527.00000
4813019,Barrhead,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,545.00000
4813019,Barrhead,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,556.00000
4813019,Barrhead,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,560.00000
4813019,Barrhead,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,586.00000
4813019,Barrhead,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,635.00000
4813019,Barrhead,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,649.00000
4813019,Barrhead,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,690.00000
4813019,Barrhead,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,669.00000
4813019,Barrhead,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,684.00000
4813019,Barrhead,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,690.00000
4813019,Barrhead,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,712.00000
4801006,Medicine Hat,1987,Average Residential Rent (2-bedroom units),1 - bedroom,$,304.00000
4801006,Medicine Hat,1988,Average Residential Rent (2-bedroom units),1 - bedroom,$,305.00000
4801006,Medicine Hat,1989,Average Residential Rent (2-bedroom units),1 - bedroom,$,315.00000
4801006,Medicine Hat,1990,Average Residential Rent (2-bedroom units),1 - bedroom,$,321.00000
4801006,Medicine Hat,1991,Average Residential Rent (2-bedroom units),1 - bedroom,$,326.00000
4801006,Medicine Hat,1992,Average Residential Rent (2-bedroom units),1 - bedroom,$,342.50000
4801006,Medicine Hat,1993,Average Residential Rent (2-bedroom units),1 - bedroom,$,343.50000
4801006,Medicine Hat,1994,Average Residential Rent (2-bedroom units),1 - bedroom,$,358.00000
4801006,Medicine Hat,1995,Average Residential Rent (2-bedroom units),1 - bedroom,$,363.50000
4801006,Medicine Hat,1996,Average Residential Rent (2-bedroom units),1 - bedroom,$,364.50000
4801006,Medicine Hat,1997,Average Residential Rent (2-bedroom units),1 - bedroom,$,369.50000
4801006,Medicine Hat,1998,Average Residential Rent (2-bedroom units),1 - bedroom,$,375.00000
4801006,Medicine Hat,1999,Average Residential Rent (2-bedroom units),1 - bedroom,$,388.50000
4801006,Medicine Hat,2000,Average Residential Rent (2-bedroom units),1 - bedroom,$,403.00000
4801006,Medicine Hat,2001,Average Residential Rent (2-bedroom units),1 - bedroom,$,430.50000
4801006,Medicine Hat,2002,Average Residential Rent (2-bedroom units),1 - bedroom,$,445.00000
4801006,Medicine Hat,2003,Average Residential Rent (2-bedroom units),1 - bedroom,$,448.50000
4801006,Medicine Hat,2004,Average Residential Rent (2-bedroom units),1 - bedroom,$,460.00000
4801006,Medicine Hat,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,481.00000
4801006,Medicine Hat,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,512.00000
4801006,Medicine Hat,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,551.50000
4801006,Medicine Hat,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,569.50000
4801006,Medicine Hat,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,582.00000
4801006,Medicine Hat,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,583.00000
4801006,Medicine Hat,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,586.00000
4801006,Medicine Hat,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,607.00000
4801006,Medicine Hat,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,626.50000
4801006,Medicine Hat,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,699.00000
4801006,Medicine Hat,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,729.00000
4801006,Medicine Hat,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,717.00000
4801006,Medicine Hat,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,739.00000
4801006,Medicine Hat,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,750.00000
4801006,Medicine Hat,2019,Average Residential Rent (2-bedroom units),1 - bedroom,$,782.00000
4801006,Medicine Hat,2020,Average Residential Rent (2-bedroom units),1 - bedroom,$,781.00000
4801006,Medicine Hat,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,797.75000
4801006,Medicine Hat,2022,Average Residential Rent (2-bedroom units),1 - bedroom,$,876.50000
4808031,Lacombe,1987,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,1988,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,1989,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,1990,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,1991,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,1992,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,1993,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,1994,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,1995,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,1996,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,1997,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,1998,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,1999,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,2000,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,2001,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,2002,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,2003,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,2004,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$
4808031,Lacombe,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,631.00000
4808031,Lacombe,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,616.00000
4808031,Lacombe,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,615.00000
4808031,Lacombe,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,635.50000
4808031,Lacombe,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,757.50000
4808031,Lacombe,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,667.00000
4808031,Lacombe,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,685.00000
4808031,Lacombe,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,710.00000
4808031,Lacombe,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,673.00000
4808031,Lacombe,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,765.00000
4808031,Lacombe,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,745.00000
4808031,Lacombe,2019,Average Residential Rent (2-bedroom units),1 - bedroom,$,754.00000
4808031,Lacombe,2020,Average Residential Rent (2-bedroom units),1 - bedroom,$,783.33000
4808031,Lacombe,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,820.33000
4808031,Lacombe,2022,Average Residential Rent (2-bedroom units),1 - bedroom,$,871.67000
4803019,Fort Macleod,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,381.00000
4803019,Fort Macleod,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,372.00000
4803019,Fort Macleod,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,404.00000
4803019,Fort Macleod,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,460.00000
4803019,Fort Macleod,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,569.00000
4803019,Fort Macleod,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,580.00000
4803019,Fort Macleod,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,576.00000
4803019,Fort Macleod,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,566.00000
4803019,Fort Macleod,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,603.00000
4803019,Fort Macleod,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,655.00000
4803019,Fort Macleod,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,661.00000
4803019,Fort Macleod,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,652.00000
4803019,Fort Macleod,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,560.00000
4803019,Fort Macleod,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,638.00000
4803019,Fort Macleod,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,621.00000
4802008,Raymond,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,378.00000
4802008,Raymond,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,400.00000
4802008,Raymond,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,405.00000
4802008,Raymond,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,405.00000
4802008,Raymond,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,460.00000
4802008,Raymond,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,480.00000
4802008,Raymond,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,495.00000
4802008,Raymond,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,500.00000
4802008,Raymond,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,560.00000
4802008,Raymond,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,560.00000
4802008,Raymond,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,560.00000
4802008,Raymond,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,560.00000
4802008,Raymond,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,550.00000
4802022,Taber,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,427.00000
4802022,Taber,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,435.00000
4802022,Taber,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,472.00000
4802022,Taber,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,519.00000
4802022,Taber,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,556.00000
4802022,Taber,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,573.00000
4802022,Taber,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,585.00000
4802022,Taber,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,595.00000
4802022,Taber,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,587.00000
4802022,Taber,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,594.00000
4802022,Taber,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,606.00000
4802022,Taber,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,635.00000
4802022,Taber,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,670.00000
4802022,Taber,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,686.00000
4802022,Taber,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,669.00000
4803014,Pincher Creek,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,464.00000
4803014,Pincher Creek,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,475.00000
4803014,Pincher Creek,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,507.00000
4803014,Pincher Creek,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,561.00000
4803014,Pincher Creek,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,603.00000
4803014,Pincher Creek,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,708.00000
4803014,Pincher Creek,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,659.00000
4803014,Pincher Creek,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,647.00000
4803014,Pincher Creek,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,653.00000
4803014,Pincher Creek,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,663.00000
4803014,Pincher Creek,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,671.00000
4803014,Pincher Creek,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,681.00000
4803014,Pincher Creek,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,636.00000
4803014,Pincher Creek,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,681.00000
4803014,Pincher Creek,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,600.00000
4803004,Cardston,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,333.00000
4803004,Cardston,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,504.00000
4803004,Cardston,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,570.00000
4803004,Cardston,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,570.00000
4803004,Cardston,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,630.00000
4803004,Cardston,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,590.00000
4803004,Cardston,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,630.00000
4803004,Cardston,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,625.00000
4803004,Cardston,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,550.00000
4803004,Cardston,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,663.00000
4803004,Cardston,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,600.00000
4803004,Cardston,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,750.00000
4803004,Cardston,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,804.00000
4803004,Cardston,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,750.00000
4803004,Cardston,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,750.00000
4803022,Claresholm,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,558.00000
4803022,Claresholm,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,577.00000
4803022,Claresholm,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,576.00000
4803022,Claresholm,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,613.00000
4803022,Claresholm,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,632.00000
4803022,Claresholm,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,632.00000
4803026,Nanton,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,675.00000
4803026,Nanton,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,650.00000
4803026,Nanton,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,650.00000
4803026,Nanton,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,650.00000
4803026,Nanton,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,800.00000
4803026,Nanton,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,800.00000
4803026,Nanton,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,800.00000
4803026,Nanton,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,985.00000
4803026,Nanton,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,750.00000
4803026,Nanton,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,750.00000
4803026,Nanton,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,800.00000
4804011,Hanna,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,397.00000
4804011,Hanna,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,377.00000
4804011,Hanna,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,413.00000
4804011,Hanna,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,427.00000
4804011,Hanna,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,413.00000
4804011,Hanna,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,500.00000
4804011,Hanna,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,575.00000
4804011,Hanna,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,525.00000
4804011,Hanna,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,600.00000
4804011,Hanna,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,575.00000
4804011,Hanna,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,575.00000
4804011,Hanna,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,567.00000
4804011,Hanna,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,543.00000
4804011,Hanna,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,564.00000
4805006,Vulcan,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,450.00000
4805006,Vulcan,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,495.00000
4805006,Vulcan,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,517.00000
4805006,Vulcan,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,600.00000
4805006,Vulcan,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,570.00000
4805006,Vulcan,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,600.00000
4805006,Vulcan,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,560.00000
4805006,Vulcan,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,575.00000
4805006,Vulcan,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,600.00000
4805006,Vulcan,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,600.00000
4805006,Vulcan,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,735.00000
4805006,Vulcan,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,700.00000
4805006,Vulcan,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,750.00000
4805006,Vulcan,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,775.00000
4805006,Vulcan,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,800.00000
4806034,Olds,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,499.00000
4806034,Olds,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,502.00000
4806034,Olds,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,634.00000
4806034,Olds,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,611.00000
4806034,Olds,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,586.00000
4806034,Olds,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,611.00000
4806034,Olds,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,640.00000
4806034,Olds,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,629.00000
4806034,Olds,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,625.00000
4806034,Olds,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,639.00000
4806034,Olds,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,637.00000
4806034,Olds,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,652.00000
4806034,Olds,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,717.00000
4806034,Olds,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,726.00000
4806034,Olds,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,723.00000
4806036,Sundre,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,568.00000
4806036,Sundre,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,660.00000
4806036,Sundre,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,684.00000
4806036,Sundre,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,750.00000
4806036,Sundre,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,683.00000
4806036,Sundre,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,685.00000
4806036,Sundre,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,708.00000
4806036,Sundre,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,729.00000
4806036,Sundre,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,681.00000
